place_id,place_name,user_id,user_name,created_at,rating,review_text,has_photo,keywords,helpful_count,visit_info,source_file,photo_count,방문 목적,동행자,child_friendly,solo_dining
1108215600,스시미즈기와 구영점,5d560f03509bf768e72e9826,자몽에이드80,2.18.수,,"구영리 스시미즈기와 다녀왔는데, 여기 진짜 가성비 대박이에요! 🍣 세트 메뉴 구성이 엄청 알차서 배 터지게 먹을 수 있거든요. 특히 초밥에 와사비가 안 들어가 있어서 취향껏 올려 먹을 수 있는 게 완전 센스 만점! ✨",False,음식이 맛있어요,0.0,점심에 방문 | 예약 후 이용 | 바로 입장 | 데이트 | 부모님,reviews_raw.csv,,데이트,부모님,0,0
1108215600,스시미즈기와 구영점,5d3519b2bd633e7252d9b40f,Bt53,3.28.토,,"울산구영리맛집으로 검색하다가 찾게된 스시미즈기와!
배달의민족에서 발견했는데 돌판 미나리 소바가 너무 궁금해서 오게되었는데 결과는 대만족!! 다음에 부모님 모시고 오려구요 추천합니다~!",False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 데이트 | 연인・배우자,reviews_raw.csv,,데이트,"연인, 배우자",0,0
1108215600,스시미즈기와 구영점,5efe444715c4bcd43058fa08,마법고동,2.11.수,,"점심으로 엄마와 방문했어용
스시미즈시와는 다른지점도 가봤는데 울산 구영점이 제일 맛있고 깔끔하고 좋은 것 같아용
초밥에 와사비가 안들어가서 취향 껏 올려먹을 수 있어서 좋아요 :)
사진은 너무 정신없이 먹어서 이전에 찍어둔,,
나가사키도 얼큰하니 맛있네효,,",False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 가족모임 | 부모님,reviews_raw.csv,,가족모임,부모님,0,0
1108215600,스시미즈기와 구영점,5dc515588f87a842bcf2172d,lie****,3.27.금,,"우리동네에 이렇게 맛있는 초밥집이 있어서 자주와요
오늘은 아이와 함께 맛있는 시간을 보냈어요
초밥은 신선하고 모든 메뉴가 다 맛있어요",False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 가족모임 | 아이,reviews_raw.csv,,가족모임,아이,1,0
1108215600,스시미즈기와 구영점,5bf5e045a89c0d1d126343fe,mjs****,3.11.수,,"초밥도 신선하고 밥양도 적당히 들어가서
맛을 느낄수가 있었어요ㅋㅋ
야끼우동도 철판에 나와 따뜻하게 먹을 수 있고
양도 푸짐해서 좋았어요!",False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 일상 | 친구,reviews_raw.csv,,일상,친구,0,0
1108215600,스시미즈기와 구영점,5c6ce106858ebf3ffc7ac144,bea****,4.11.토,,"#구영리 맛집
부모님 생신에 왔는데 대만족입니다 다음에도 또 올게요!
초밥과 면 강추",False,인테리어가 멋져요,0.0,저녁에 방문 | 예약 없이 이용 | 바로 입장 | 친목 | 부모님,reviews_raw.csv,,친목,부모님,0,0
1108215600,스시미즈기와 구영점,5c973f8d68542abd0f110806,lee****,3.21.토,,"어머님 생신으로 7명 같이 방문했습니다^^
초밥뿐 아니라 다양한 메뉴가 있어서 아이들도 먹기가 좋고 더 만족도가 높았습니다. 초밥도 신선하고 맛있었어요.
다음에 또 오고싶습니다",False,음식이 맛있어요,0.0,점심에 방문 | 예약 후 이용 | 바로 입장 | 가족모임 | 부모님,reviews_raw.csv,,가족모임,부모님,0,0
1108215600,스시미즈기와 구영점,5f05ff4fc39701d27e13d695,메일용31,4.7.화,,"함바그 진짜 맛있어요! 초밥도 맛있어요
특히 치즈쭈꾸미가 맛있는 것 같아요",False,음식이 맛있어요,0.0,"저녁에 방문 | 예약 없이 이용 | 바로 입장 | 친목, 데이트 | 연인・배우자, 친구",reviews_raw.csv,,"친목, 데이트","연인, 배우자, 친구",0,0
1108215600,스시미즈기와 구영점,5bfd3b7e2d89e1a75374be0a,Kate8293,4.1.수,,맛있고 친절한곳 최고에요,False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 일상 | 연인・배우자,reviews_raw.csv,,일상,"연인, 배우자",0,0
1108215600,스시미즈기와 구영점,601623d156d68ef939585354,말하는감자,2.16.월,,"미나리 나가사끼 짬뽕이 진짜!! 맛잇어요 …
무조건 필수 !!!!!!
명절에 맛있는 초밥 잘먹구갑니다 ♡////🍣🍣🍣
#울산초밥맛집
#울산구영리맛집",False,음식이 맛있어요,0.0,점심에 방문 | 예약 없이 이용 | 바로 입장 | 친목 | 친구,reviews_raw.csv,,친목,친구,0,0
